type,description,name,Age_note,Hopkins2020_Age,Hopkins2020_Error,Reo,Hopkins2020_ReliabilityGrouping,mainVent,easting,northing,volume
tuff ring,300 m wide/circular,Puhinui Craters,Undated,,,,5,y,1763348,5901992,1
scoria cone,400 m by 300 m,McLaughlins,Argon,48.2,6.400000095,Matukutureia,2,y,1764206,5902041,7.16
tuff ring,,Pukaki Lagoon,Tephrochronology; >> minimum age,45,,Te Pukaki Tapu-o-Poutukeka,3,y,1761106,5905519,5.7
tuff ring,low profile; validated,Cemetary Crater,Undated,,,,5,y,1763850,5904698,1
scoria cone,small cone inside Crater Hill ring structure,Crater Hill,Tephrochronology,30.4,0.8,,2,y,1762772,5905144,12.27
tuff ring,multiple craters,Kohuora,Tephrochronology,33.7,2.400000095,,1,y,1763881,5905806,1.41
scoria cone,mostly quarried away - originally 500 x 400 m?,Wiri,Argon; range given is 30.1 to 31,30.5,0.5,Te Manurewa o Tamapahore,1,y,1765357,5902694,30.54
tuff ring,circular depression with swamp; now filled,Ash Hill,Carbon,31.8,0.4,,2,y,1766174,5903189,0.08
scoria cone,small cone and crater; completely quarried away,Mt Gabriel,Tephrochronology,20.3,0.2,Waitomokia/Moerangi,2,y,1757514,5906170,3.32
tuff ring,700 m wide ring,Mangere Lagoon,Morphostratigraphy*,59.5,,,3,y,1758261,5908468,2.02
tuff ring,300x300 ring? Open to NE,Boggust Park/Favona,Morphostratigraphy; minimum age,130,,,5,y,1761468,5908530,1
scoria cone,main cone ~vent,Mangere,Tephrochronology,59,20,Te Pane o Mataaho,4,y,1758776,5909215,174.76
scoria cone,meduim-sized cone; composite structure,Mt Richmond,Tephrochronology,30.2,4.199999809,Otahuhu,2,y,1763822,5911001,4.14
tuff ring,approximate location; multiple rings,Hampton Park,Argon,57,32,,2,y,1768847,5908906,2.06
tuff ring,approximate location; multiple vents,Otara Hill,Morphostratigraphy*,56.5,,Te Puke-o-Taramainuku,3,y,1769127,5909239,7.86
tuff ring,approximate location,Highbrook Park,Morphostratigraphy; minimum age,130,,Pukekiwiriki,3,y,1766058,5909628,4.71
scoria cone,300 m wide cone,Mt Robertson/Sturges Park,Tephrochronology,24.3,0.800000012,,3,y,1763988,5909281,2.29
