buffer_distance_m,buffer_distance_km,probability_mean,probability_2.5_percentile,probability_97.5_percentile,num_outcomes
0,0.0,0.6556645833333333,0.6543203732077365,0.6570087934589302,480000
500,0.5,0.76926875,0.768076883241512,0.7704606167584879,480000
1000,1.0,0.8023791666666666,0.8012526395819236,0.8035056937514097,480000
1500,1.5,0.8271666666666667,0.8260970067591796,0.8282363265741538,480000
2000,2.0,0.831225,0.8301653832634716,0.8322846167365284,480000
2500,2.5,0.83435,0.8332982674673387,0.8354017325326614,480000
3000,3.0,0.8375833333333333,0.8365398998650401,0.8386267668016266,480000
3500,3.5,0.9157354166666667,0.9149495606237579,0.9165212727095755,480000
4000,4.0,0.9232270833333334,0.9224739120711016,0.9239802545955651,480000
4500,4.5,0.9408520833333334,0.9401847146023452,0.9415194520643215,480000
5000,5.0,0.95781875,0.9572501107378183,0.9583873892621818,480000
5500,5.5,0.9676125,0.9671116877990875,0.9681133122009125,480000
6000,6.0,0.97034375,0.9698638437829009,0.970823656217099,480000
6500,6.5,0.9743270833333333,0.9738796529772717,0.9747745136893948,480000
7000,7.0,0.9764270833333333,0.9759978810520646,0.9768562856146019,480000
7500,7.5,0.9786375,0.9782284537484645,0.9790465462515356,480000
8000,8.0,0.98089375,0.9805064618897278,0.9812810381102722,480000
8500,8.5,0.9845333333333334,0.9841842339932108,0.984882432673456,480000
9000,9.0,0.98558125,0.985244005034602,0.985918494965398,480000
9500,9.5,0.99136875,0.9911070583213157,0.9916304416786843,480000
10000,10.0,0.9915854166666667,0.9913270021981108,0.9918438311352226,480000
10500,10.5,0.99283125,0.9925925816176836,0.9930699183823165,480000
11000,11.0,0.99321875,0.9929865764268492,0.9934509235731509,480000
11500,11.5,0.9958395833333333,0.9956574881078131,0.9960216785588536,480000
12000,12.0,0.9961166666666667,0.9959407152000024,0.9962926181333309,480000
12500,12.5,0.9962729166666666,0.9961005278190791,0.9964453055142541,480000
13000,13.0,0.9962729166666666,0.9961005278190791,0.9964453055142541,480000
