buffer_distance_m,buffer_distance_km,probability_mean,probability_2.5_percentile,probability_97.5_percentile,num_outcomes
0,0.0,0.7543428571428571,0.7529166876619888,0.7557690266237254,350000
500,0.5,0.87662,0.8755304425877515,0.8777095574122484,350000
1000,1.0,0.9115542857142858,0.910613584478327,0.9124949869502446,350000
1500,1.5,0.9188857142857143,0.9179812290686764,0.9197901995027522,350000
2000,2.0,0.9200771428571428,0.9191787430074758,0.9209755427068098,350000
2500,2.5,0.9209085714285714,0.9200144530605185,0.9218026897966243,350000
3000,3.0,0.9236142857142857,0.9227343044168481,0.9244942670117233,350000
3500,3.5,0.9821228571428572,0.9816838677630203,0.9825618465226941,350000
4000,4.0,0.9825342857142857,0.9821002863614088,0.9829682850671626,350000
4500,4.5,0.9884,0.9880452540776273,0.9887547459223726,350000
5000,5.0,0.9959,0.9956882995195093,0.9961117004804907,350000
5500,5.5,0.9980428571428571,0.9978964346123503,0.9981892796733639,350000
6000,6.0,0.99916,0.9990640203389546,0.9992559796610455,350000
6500,6.5,0.9995428571428572,0.9994720383159819,0.9996136759697325,350000
7000,7.0,0.9998285714285714,0.9997851977333172,0.9998719451238256,350000
7500,7.5,0.9998342857142857,0.9997916409187579,0.9998769305098134,350000
8000,8.0,0.9998371428571429,0.99979486722717,0.9998794184871157,350000
8500,8.5,1.0,1.0,1.0,350000
9000,9.0,1.0,1.0,1.0,350000
9500,9.5,1.0,1.0,1.0,350000
10000,10.0,1.0,1.0,1.0,350000
10500,10.5,1.0,1.0,1.0,350000
11000,11.0,1.0,1.0,1.0,350000
11500,11.5,1.0,1.0,1.0,350000
12000,12.0,1.0,1.0,1.0,350000
