buffer_distance_m,buffer_distance_km,probability_mean,probability_2.5_percentile,probability_97.5_percentile,num_outcomes
0,0.0,0.768991304347826,0.7672687734064538,0.7707138352891982,230000
500,0.5,0.819291304347826,0.8177187674239527,0.8208638412716994,230000
1000,1.0,0.8968130434782609,0.895569801937156,0.8980562850193657,230000
1500,1.5,0.8968130434782609,0.895569801937156,0.8980562850193657,230000
2000,2.0,0.9018130434782609,0.900596921019622,0.9030291659368997,230000
2500,2.5,0.9067913043478261,0.9056031467704228,0.9079794619252294,230000
3000,3.0,0.9078521739130435,0.9066701064338638,0.9090342413922232,230000
3500,3.5,0.9948086956521739,0.994514998195875,0.9951023931084728,230000
4000,4.0,0.9995521739130435,0.999465707074221,0.999638640751866,230000
4500,4.5,0.9995521739130435,0.999465707074221,0.999638640751866,230000
5000,5.0,1.0,1.0,1.0,230000
5500,5.5,1.0,1.0,1.0,230000
6000,6.0,1.0,1.0,1.0,230000
6500,6.5,1.0,1.0,1.0,230000
7000,7.0,1.0,1.0,1.0,230000
7500,7.5,1.0,1.0,1.0,230000
8000,8.0,1.0,1.0,1.0,230000
8500,8.5,1.0,1.0,1.0,230000
9000,9.0,1.0,1.0,1.0,230000
9500,9.5,1.0,1.0,1.0,230000
10000,10.0,1.0,1.0,1.0,230000
10500,10.5,1.0,1.0,1.0,230000
11000,11.0,1.0,1.0,1.0,230000
11500,11.5,1.0,1.0,1.0,230000
12000,12.0,1.0,1.0,1.0,230000
12500,12.5,1.0,1.0,1.0,230000
13000,13.0,1.0,1.0,1.0,230000
