buffer_m,pct_within_hull
0,0.743
100,0.767
200,0.786
300,0.798
400,0.818
500,0.836
600,0.857
700,0.875
800,0.893
900,0.902
1000,0.917
1100,0.93
1200,0.937
1300,0.946
1400,0.951
1500,0.958
1600,0.963
1700,0.969
1800,0.972
1900,0.977
2000,0.979
2100,0.983
2200,0.986
2300,0.987
2400,0.989
2500,0.993
2600,0.995
2700,0.996
2800,0.997
2900,0.998
3000,0.998
3100,0.999
3200,1
3300,1
3400,1
3500,1
3600,1
3700,1
3800,1
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,1
7400,1
7500,1
7600,1
7700,1
7800,1
7900,1
8000,1
8100,1
8200,1
8300,1
8400,1
8500,1
8600,1
8700,1
8800,1
8900,1
9000,1
9100,1
9200,1
9300,1
9400,1
9500,1
9600,1
9700,1
9800,1
9900,1
10000,1
10100,1
10200,1
10300,1
10400,1
10500,1
10600,1
10700,1
10800,1
10900,1
11000,1
11100,1
11200,1
11300,1
11400,1
11500,1
11600,1
11700,1
11800,1
11900,1
12000,1
